# packages in environment at /export/apps/bioconda:
#
# Name                    Version                   Build  Channel
pybind11-abi              4                    hd8ed1ab_3    conda-forge
pycosat                   0.6.4           py310h5764c6d_1    conda-forge
pycparser                 2.21               pyhd8ed1ab_0    conda-forge
pydantic                  2.9.2              pyhd8ed1ab_0    conda-forge
pydantic-core             2.23.4          py310h505e2c1_0    conda-forge
pydeseq2                  0.5.0              pyhdfd78af_1    bioconda
pygments                  2.17.2             pyhd8ed1ab_0    conda-forge
pyleiden                  0.1.2              pyhd8ed1ab_0    conda-forge
pymol-open-source         3.0.0           py310h200f838_8    conda-forge
pynacl                    1.5.0           py310h2372a71_3    conda-forge
pyopenssl                 23.2.0             pyhd8ed1ab_1    conda-forge
pyparsing                 3.1.2              pyhd8ed1ab_0    conda-forge
pyqt                      5.15.9          py310h04931ad_5    conda-forge
pyqt5-sip                 12.12.2         py310hc6cd4ac_5    conda-forge
pysam                     0.22.1          py310h804392c_2    bioconda
pysftp                    0.2.9                      py_1    conda-forge
pysocks                   1.7.1              pyha2e5f31_6    conda-forge
pytest                    8.0.2              pyhd8ed1ab_0    conda-forge
python                    3.10.18         hd6af730_0_cpython    conda-forge
python-chromedriver-binary 124.0.6358.0.0  py310hff52083_0    conda-forge
python-dateutil           2.9.0              pyhd8ed1ab_0    conda-forge
python-dotenv             1.2.1              pyhcf101f3_0    conda-forge
python-fastjsonschema     2.19.1             pyhd8ed1ab_0    conda-forge
python-gil                3.10.19              hd8ed1ab_2    conda-forge
python-igraph             0.11.6          py310h5996f03_2    conda-forge
python-irodsclient        2.1.0              pyhd8ed1ab_0    conda-forge
python-isal               1.5.2           py310h2372a71_0    conda-forge
python-json-logger        2.0.7              pyhd8ed1ab_0    conda-forge
python-kaleido            0.2.1              pyhd8ed1ab_0    conda-forge
python-tzdata             2024.1             pyhd8ed1ab_0    conda-forge
python-utils              3.9.1              pyhff2d567_1    conda-forge
python_abi                3.10                    3_cp310    conda-forge
pytz                      2024.1             pyhd8ed1ab_0    conda-forge
pyu2f                     0.1.5              pyhd8ed1ab_1    conda-forge
pyyaml                    6.0.1           py310h2372a71_1    conda-forge
pyzmq                     26.0.2          py310h6883aea_0    conda-forge
qt-main                   5.15.8              h3155989_26    conda-forge
qtconsole-base            5.5.1              pyha770c72_0    conda-forge
qtpy                      2.4.1              pyhd8ed1ab_0    conda-forge
r                         4.3             r43hd8ed1ab_1007    conda-forge
r-abind                   1.4_5           r43hc72bb7e_1005    conda-forge
r-ade4                    1.7_22            r43h316c678_1    conda-forge
r-ape                     5.7_1             r43h08d816e_1    conda-forge
r-arrow                   16.1.0            r43he02047a_1    conda-forge
r-askpass                 1.2.0             r43h57805ef_0    conda-forge
r-assertthat              0.2.1             r43hc72bb7e_4    conda-forge
r-backports               1.4.1             r43h57805ef_2    conda-forge
r-base                    4.3.3               h9967228_12    conda-forge
r-base64enc               0.1_3           r43h57805ef_1006    conda-forge
r-bh                      1.84.0_0          r43hc72bb7e_0    conda-forge
r-bit                     4.0.5             r43h57805ef_1    conda-forge
r-bit64                   4.0.5             r43h57805ef_2    conda-forge
r-bitops                  1.0_7             r43h57805ef_2    conda-forge
r-boot                    1.3_28.1          r43hc72bb7e_1    conda-forge
r-brew                    1.0_10            r43hc72bb7e_0    conda-forge
r-brio                    1.1.4             r43h57805ef_0    conda-forge
r-broom                   1.0.5             r43hc72bb7e_1    conda-forge
r-bslib                   0.6.1             r43hc72bb7e_0    conda-forge
r-cachem                  1.0.8             r43h57805ef_1    conda-forge
r-callr                   3.7.3             r43hc72bb7e_1    conda-forge
r-car                     3.1_2             r43hc72bb7e_1    conda-forge
r-cardata                 3.0_5             r43hc72bb7e_2    conda-forge
r-caret                   6.0_94            r43h57805ef_1    conda-forge
r-catools                 1.18.2            r43ha503ecb_2    conda-forge
r-cellranger              1.1.0           r43hc72bb7e_1006    conda-forge
r-class                   7.3_22            r43h57805ef_1    conda-forge
r-classint                0.4_10            r43h61816a4_0    conda-forge
r-cli                     3.6.2             r43ha503ecb_0    conda-forge
r-clipr                   0.8.0             r43hc72bb7e_2    conda-forge
r-clock                   0.7.0             r43ha503ecb_1    conda-forge
r-cluster                 2.1.6             r43h61816a4_0    conda-forge
r-codetools               0.2_19            r43hc72bb7e_1    conda-forge
r-colorspace              2.1_0             r43h57805ef_1    conda-forge
r-colourvalues            0.3.9             r43ha503ecb_1    conda-forge
r-commonmark              1.9.0             r43h57805ef_1    conda-forge
r-conquer                 1.3.3             r43h08d816e_2    conda-forge
r-corrplot                0.92              r43hc72bb7e_2    conda-forge
r-cowplot                 1.1.2             r43hc72bb7e_0    conda-forge
r-cpp11                   0.4.7             r43hc72bb7e_0    conda-forge
r-crayon                  1.5.2             r43hc72bb7e_2    conda-forge
r-credentials             2.0.1             r43hc72bb7e_0    conda-forge
r-crosstalk               1.2.1             r43hc72bb7e_0    conda-forge
r-curl                    5.1.0             r43hf9611b0_0    conda-forge
r-data.table              1.17.6            r43he23165d_0    conda-forge
r-dbi                     1.2.3             r43hc72bb7e_0    conda-forge
r-dendextend              1.17.1            r43hc72bb7e_1    conda-forge
r-desc                    1.4.3             r43hc72bb7e_0    conda-forge
r-devtools                2.4.5             r43hc72bb7e_2    conda-forge
r-diagram                 1.6.5             r43ha770c72_2    conda-forge
r-dichromat               2.0_0.1           r43ha770c72_2    conda-forge
r-diffobj                 0.3.5             r43h57805ef_2    conda-forge
r-digest                  0.6.34            r43ha503ecb_0    conda-forge
r-downlit                 0.4.3             r43hc72bb7e_0    conda-forge
r-dplyr                   1.1.4             r43ha503ecb_0    conda-forge
r-dqrng                   0.3.2             r43ha503ecb_0    conda-forge
r-dt                      0.31              r43hc72bb7e_0    conda-forge
r-e1071                   1.7_14            r43ha503ecb_0    conda-forge
r-ellipse                 0.5.0             r43hc72bb7e_0    conda-forge
r-ellipsis                0.3.2             r43h57805ef_2    conda-forge
r-emmeans                 1.9.0             r43hc72bb7e_0    conda-forge
r-estimability            1.4.1             r43hc72bb7e_2    conda-forge
r-evaluate                0.23              r43hc72bb7e_0    conda-forge
r-factoextra              1.0.7             r43hc72bb7e_3    conda-forge
r-factominer              2.9               r43h57805ef_0    conda-forge
r-fansi                   1.0.6             r43h57805ef_0    conda-forge
r-farver                  2.1.1             r43ha503ecb_2    conda-forge
r-fastmap                 1.1.1             r43ha503ecb_1    conda-forge
r-flashclust              1.01_2          r43h61816a4_1008    conda-forge
r-fnn                     1.1.4             r43ha503ecb_0    conda-forge
r-fontawesome             0.5.2             r43hc72bb7e_0    conda-forge
r-forcats                 1.0.0             r43hc72bb7e_1    conda-forge
r-foreach                 1.5.2             r43hc72bb7e_2    conda-forge
r-foreign                 0.8_86            r43h57805ef_0    conda-forge
r-fs                      1.6.3             r43ha503ecb_0    conda-forge
r-future                  1.33.1            r43hc72bb7e_0    conda-forge
r-future.apply            1.11.1            r43hc72bb7e_0    conda-forge
r-generics                0.1.3             r43hc72bb7e_2    conda-forge
r-geojsonsf               2.0.3             r43ha503ecb_2    conda-forge
r-geometries              0.2.4             r43ha503ecb_0    conda-forge
r-gert                    2.1.4             r43h017ce79_0    conda-forge
r-ggplot2                 3.4.4             r43hc72bb7e_0    conda-forge
r-ggpubr                  0.6.0             r43hc72bb7e_1    conda-forge
r-ggrepel                 0.9.5             r43ha503ecb_0    conda-forge
r-ggsci                   3.0.0             r43hc72bb7e_1    conda-forge
r-ggsignif                0.6.4             r43hc72bb7e_1    conda-forge
r-gh                      1.4.0             r43hc72bb7e_1    conda-forge
r-gitcreds                0.1.2             r43hc72bb7e_2    conda-forge
r-globals                 0.16.2            r43hc72bb7e_1    conda-forge
r-glue                    1.7.0             r43h57805ef_0    conda-forge
r-googlepolylines         0.8.4             r43ha503ecb_0    conda-forge
r-gower                   1.0.1             r43h57805ef_1    conda-forge
r-gplots                  3.1.3             r43hc72bb7e_2    conda-forge
r-gridextra               2.3             r43hc72bb7e_1005    conda-forge
r-grr                     0.9.5           r43ha503ecb_1006    conda-forge
r-gtable                  0.3.4             r43hc72bb7e_0    conda-forge
r-gtools                  3.9.5             r43h57805ef_0    conda-forge
r-hardhat                 1.3.0             r43hc72bb7e_1    conda-forge
r-haven                   2.5.4             r43ha503ecb_0    conda-forge
r-here                    1.0.1             r43hc72bb7e_2    conda-forge
r-highr                   0.10              r43hc72bb7e_1    conda-forge
r-hms                     1.1.3             r43hc72bb7e_1    conda-forge
r-htmltools               0.5.7             r43ha503ecb_0    conda-forge
r-htmlwidgets             1.6.4             r43hc72bb7e_1    conda-forge
r-httpuv                  1.6.13            r43ha503ecb_0    conda-forge
r-httr                    1.4.7             r43hc72bb7e_0    conda-forge
r-httr2                   1.0.0             r43hc72bb7e_0    conda-forge
r-igraph                  1.5.1             r43hbd8eb98_0    conda-forge
r-ini                     0.3.1           r43hc72bb7e_1005    conda-forge
r-interleave              0.1.2             r43ha503ecb_0    conda-forge
r-ipred                   0.9_14            r43h57805ef_1    conda-forge
r-irlba                   2.3.5.1           r43h316c678_1    conda-forge
r-isoband                 0.2.7             r43ha503ecb_2    conda-forge
r-iterators               1.0.14            r43hc72bb7e_2    conda-forge
r-jquerylib               0.1.4             r43hc72bb7e_2    conda-forge
r-jsonify                 1.2.2             r43ha503ecb_1    conda-forge
r-jsonlite                1.8.8             r43h57805ef_0    conda-forge
r-kernsmooth              2.23_22           r43h13b3f57_0    conda-forge
r-knitr                   1.45              r43hc72bb7e_0    conda-forge
r-labeling                0.4.3             r43hc72bb7e_0    conda-forge
r-later                   1.3.2             r43ha503ecb_0    conda-forge
r-lattice                 0.22_5            r43h57805ef_0    conda-forge
r-lava                    1.7.3             r43hc72bb7e_0    conda-forge
r-lazyeval                0.2.2             r43h57805ef_4    conda-forge
r-leafem                  0.2.3             r43h785f33e_0    conda-forge
r-leaflet                 2.2.2             r43hc72bb7e_0    conda-forge
r-leaflet.providers       2.0.0             r43hc72bb7e_0    conda-forge
r-leafsync                0.1.0             r43hc72bb7e_3    conda-forge
r-leaps                   3.1               r43h61816a4_4    conda-forge
r-leiden                  0.4.3.1           r43hc72bb7e_0    conda-forge
r-leidenalg               1.1.3             r43ha503ecb_0    conda-forge
r-lifecycle               1.0.4             r43hc72bb7e_0    conda-forge
r-listenv                 0.9.0             r43hc72bb7e_1    conda-forge
r-lme4                    1.1_35.1          r43ha503ecb_0    conda-forge
r-lubridate               1.9.3             r43h57805ef_0    conda-forge
r-lwgeom                  0.2_14            r43he73c53a_2    conda-forge
r-magrittr                2.0.3             r43h57805ef_2    conda-forge
r-mapdeck                 0.3.4             r43ha503ecb_3    conda-forge
r-maptools                1.1_8             r43h57805ef_0    conda-forge
r-markdown                1.12              r43hc72bb7e_0    conda-forge
r-mass                    7.3_60            r43h57805ef_1    conda-forge
r-matrix                  1.6_5             r43h316c678_0    conda-forge
r-matrix.utils            0.9.8             r43hc72bb7e_3    conda-forge
r-matrixmodels            0.5_3             r43hc72bb7e_0    conda-forge
r-matrixstats             1.2.0             r43h57805ef_0    conda-forge
r-memoise                 2.0.1             r43hc72bb7e_2    conda-forge
r-mgcv                    1.9_1             r43h316c678_0    conda-forge
r-mime                    0.12              r43h57805ef_2    conda-forge
r-miniui                  0.1.1.1         r43hc72bb7e_1004    conda-forge
r-minqa                   1.2.6             r43hcf54a89_0    conda-forge
r-modelmetrics            1.2.2.2           r43ha503ecb_3    conda-forge
r-multcompview            0.1_9             r43hc72bb7e_1    conda-forge
r-munsell                 0.5.0           r43hc72bb7e_1006    conda-forge
r-mvtnorm                 1.2_4             r43hd9ac46e_0    conda-forge
r-nlme                    3.1_164           r43h61816a4_0    conda-forge
r-nloptr                  2.0.3             r43hcf54a89_2    conda-forge
r-nnet                    7.3_19            r43h57805ef_1    conda-forge
r-numderiv                2016.8_1.1        r43hc72bb7e_5    conda-forge
r-openssl                 2.1.1             r43hb353fa6_0    conda-forge
r-parallelly              1.36.0            r43hc72bb7e_1    conda-forge
r-pbkrtest                0.5.2             r43hc72bb7e_1    conda-forge
r-pbmcapply               1.5.1             r43h57805ef_2    conda-forge
r-pillar                  1.9.0             r43hc72bb7e_1    conda-forge
r-pixmap                  0.4_12            r43hc72bb7e_2    conda-forge
r-pkgbuild                1.4.2             r43hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r43hc72bb7e_3    conda-forge
r-pkgdown                 2.0.7             r43hc72bb7e_1    conda-forge
r-pkgload                 1.3.4             r43hc72bb7e_0    conda-forge
r-plyr                    1.8.9             r43ha503ecb_0    conda-forge
r-png                     0.1_8             r43h81d01c5_1    conda-forge
r-polynom                 1.4_1             r43hc72bb7e_2    conda-forge
r-praise                  1.0.0           r43hc72bb7e_1007    conda-forge
r-prettyunits             1.2.0             r43hc72bb7e_0    conda-forge
r-proc                    1.18.5            r43ha503ecb_0    conda-forge
r-processx                3.8.3             r43h57805ef_0    conda-forge
r-prodlim                 2023.08.28        r43ha503ecb_0    conda-forge
r-profvis                 0.3.8             r43h57805ef_3    conda-forge
r-progress                1.2.3             r43hc72bb7e_0    conda-forge
r-progressr               0.14.0            r43hc72bb7e_0    conda-forge
r-promises                1.2.1             r43ha503ecb_0    conda-forge
r-proxy                   0.4_27            r43h57805ef_2    conda-forge
r-ps                      1.7.6             r43h57805ef_0    conda-forge
r-purrr                   1.0.2             r43h57805ef_0    conda-forge
r-quantreg                5.97              r43hd9ac46e_0    conda-forge
r-r.methodss3             1.8.2             r43hc72bb7e_2    conda-forge
r-r.oo                    1.25.0            r43hc72bb7e_2    conda-forge
r-r.utils                 2.12.3            r43hc72bb7e_0    conda-forge
r-r6                      2.5.1             r43hc72bb7e_2    conda-forge
r-ragg                    1.2.7             r43h73ae6e3_0    conda-forge
r-rapidjsonr              1.2.0             r43hc72bb7e_3    conda-forge
r-rappdirs                0.3.3             r43h57805ef_2    conda-forge
r-raster                  3.6_26            r43ha503ecb_0    conda-forge
r-rcmdcheck               1.4.0             r43h785f33e_2    conda-forge
r-rcolorbrewer            1.1_3             r43h785f33e_2    conda-forge
r-rcpp                    1.0.12            r43h7df8631_0    conda-forge
r-rcppannoy               0.0.22            r43ha503ecb_0    conda-forge
r-rcpparmadillo           0.12.6.4.0        r43h08d816e_0    conda-forge
r-rcppeigen               0.3.3.9.4         r43h08d816e_0    conda-forge
r-rcppprogress            0.4.2             r43hc72bb7e_3    conda-forge
r-rcpptoml                0.2.2             r43ha503ecb_1    conda-forge
r-readr                   2.1.5             r43ha503ecb_0    conda-forge
r-readxl                  1.4.3             r43ha5c9fba_0    conda-forge
r-recipes                 1.0.9             r43hc72bb7e_0    conda-forge
r-recommended             4.3             r43hd8ed1ab_1006    conda-forge
r-rematch                 2.0.0             r43hc72bb7e_0    conda-forge
r-rematch2                2.1.2             r43hc72bb7e_3    conda-forge
r-remotes                 2.4.2.1           r43hc72bb7e_0    conda-forge
r-reshape2                1.4.4             r43ha503ecb_3    conda-forge
r-reticulate              1.35.0            r43ha503ecb_0    conda-forge
r-rio                     1.0.1             r43hc72bb7e_0    conda-forge
r-rlang                   1.1.3             r43ha503ecb_0    conda-forge
r-rmarkdown               2.25              r43hc72bb7e_0    conda-forge
r-roxygen2                7.3.0             r43ha503ecb_0    conda-forge
r-rpart                   4.1.23            r43h57805ef_0    conda-forge
r-rprojroot               2.0.4             r43hc72bb7e_0    conda-forge
r-rstatix                 0.7.2             r43hc72bb7e_1    conda-forge
r-rstudioapi              0.15.0            r43hc72bb7e_0    conda-forge
r-rversions               2.1.2             r43hc72bb7e_2    conda-forge
r-s2                      1.1.6             r43h5eac2b3_0    conda-forge
r-sass                    0.4.8             r43ha503ecb_0    conda-forge
r-scales                  1.3.0             r43hc72bb7e_0    conda-forge
r-scatterplot3d           0.3_44            r43h785f33e_1    conda-forge
r-sccore                  1.0.5             r43ha503ecb_0    conda-forge
r-segmented               2.0_1             r43hc72bb7e_0    conda-forge
r-seqinr                  4.2_36            r43h57805ef_0    conda-forge
r-sessioninfo             1.2.2             r43hc72bb7e_2    conda-forge
r-sf                      1.0_16            r43hfca88e2_5    conda-forge
r-sfheaders               0.4.4             r43ha503ecb_0    conda-forge
r-shape                   1.4.6             r43ha770c72_2    conda-forge
r-shiny                   1.8.0             r43h785f33e_0    conda-forge
r-sitmo                   2.0.2             r43ha503ecb_2    conda-forge
r-sm                      2.2_5.7.1         r43h61816a4_2    conda-forge
r-sourcetools             0.1.7_1           r43ha503ecb_1    conda-forge
r-sp                      2.1_2             r43h57805ef_0    conda-forge
r-sparsem                 1.81              r43h61816a4_2    conda-forge
r-spatial                 7.3_17            r43h57805ef_0    conda-forge
r-spatialwidget           0.2.5             r43ha503ecb_0    conda-forge
r-squarem                 2021.1            r43hc72bb7e_2    conda-forge
r-stars                   0.6_5             r43hc72bb7e_0    conda-forge
r-statmod                 1.5.0             r43hd8f1df9_1    conda-forge
r-stringi                 1.8.7             r43h3c328a7_0    conda-forge
r-stringr                 1.5.1             r43h785f33e_0    conda-forge
r-survival                3.5_7             r43h57805ef_0    conda-forge
r-sys                     3.4.2             r43h57805ef_1    conda-forge
r-systemfonts             1.0.5             r43haf97adc_0    conda-forge
r-terra                   1.7_78            r43h0c4b165_3    conda-forge
r-testthat                3.2.1             r43ha503ecb_0    conda-forge
r-textshaping             0.4.0             r43ha47bcaa_2    conda-forge
r-tibble                  3.2.1             r43h57805ef_2    conda-forge
r-tidyr                   1.3.0             r43ha503ecb_1    conda-forge
r-tidyselect              1.2.0             r43hc72bb7e_1    conda-forge
r-timechange              0.3.0             r43ha503ecb_0    conda-forge
r-timedate                4032.109          r43hc72bb7e_0    conda-forge
r-tinytex                 0.49              r43hc72bb7e_1    conda-forge
r-tmap                    3.3_4             r43hc72bb7e_0    conda-forge
r-tmaptools               3.1_1             r43hc72bb7e_2    conda-forge
r-tzdb                    0.4.0             r43ha503ecb_1    conda-forge
r-units                   0.8_5             r43ha503ecb_0    conda-forge
r-urlchecker              1.0.1             r43hc72bb7e_2    conda-forge
r-usethis                 2.2.2             r43hc72bb7e_0    conda-forge
r-utf8                    1.2.4             r43h57805ef_0    conda-forge
r-uwot                    0.1.16            r43ha503ecb_0    conda-forge
r-vctrs                   0.6.5             r43ha503ecb_0    conda-forge
r-vioplot                 0.4.0             r43hc72bb7e_1    conda-forge
r-viridis                 0.6.4             r43hc72bb7e_0    conda-forge
r-viridislite             0.4.2             r43hc72bb7e_1    conda-forge
r-vroom                   1.6.5             r43ha503ecb_0    conda-forge
r-waldo                   0.5.2             r43hc72bb7e_0    conda-forge
r-whisker                 0.4.1             r43hc72bb7e_1    conda-forge
r-widgetframe             0.3.1             r43hc72bb7e_3    conda-forge
r-withr                   3.0.0             r43hc72bb7e_0    conda-forge
r-wk                      0.9.1             r43ha503ecb_0    conda-forge
r-writexl                 1.4.2             r43h57805ef_1    conda-forge
r-xfun                    0.41              r43ha503ecb_0    conda-forge
r-xml                     3.99_0.16.1       r43hc6530ce_0    conda-forge
r-xml2                    1.3.5             r43h1ad5fc0_0    conda-forge
r-xopen                   1.0.0           r43hc72bb7e_1005    conda-forge
r-xtable                  1.8_4             r43hc72bb7e_5    conda-forge
r-yaml                    2.3.8             r43h57805ef_0    conda-forge
r-zip                     2.3.0             r43h57805ef_1    conda-forge
r-zoo                     1.8_12            r43h57805ef_1    conda-forge
raxml                     8.2.13               h031d066_1    bioconda
rdma-core                 49.0                 hd3aeb46_2    conda-forge
re2                       2023.09.01           h7f4b329_2    conda-forge
readline                  8.2                  h8228510_1    conda-forge
referencing               0.35.0             pyhd8ed1ab_0    conda-forge
regex                     2025.11.3       py310h7c4b9e2_1    conda-forge
reproc                    14.2.4               h0b41bf4_0    conda-forge
reproc-cpp                14.2.4               hcb278e6_0    conda-forge
requests                  2.31.0             pyhd8ed1ab_0    conda-forge
reretry                   0.11.8             pyhd8ed1ab_1    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_0    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rich                      14.0.0             pyh29332c3_0    conda-forge
rich-click                1.9.4              pyhd8ed1ab_0    conda-forge
rpds-py                   0.18.0          py310hcb5633a_0    conda-forge
rpsbproc                  0.5.0                hd6d6fdc_3    bioconda
rpy2                      3.5.11          py310r43h1f7b6fc_3    conda-forge
rsa                       4.9.1              pyhd8ed1ab_0    conda-forge
ruamel.yaml               0.17.32         py310h2372a71_0    conda-forge
ruamel.yaml.clib          0.2.7           py310h1fa729e_1    conda-forge
s2n                       1.4.16               he19d79f_0    conda-forge
s3transfer                0.12.0             pyhd8ed1ab_0    conda-forge
samtools                  1.21                 h96c455f_1    bioconda
scikit-learn              1.4.2           py310h1fdf081_0    conda-forge
scipy                     1.13.0          py310hb13e2d6_0    conda-forge
seaborn                   0.13.2               hd8ed1ab_3    conda-forge
seaborn-base              0.13.2             pyhd8ed1ab_3    conda-forge
sed                       4.8                  he412f7d_0    conda-forge
selenium                  4.19.0             pyhd8ed1ab_0    conda-forge
selenium-manager          4.19.0               he8a937b_0    conda-forge
send2trash                1.8.3              pyh0d859eb_0    conda-forge
seqkit                    2.8.2                h9ee0642_1    bioconda
session-info              1.0.0              pyhd8ed1ab_0    conda-forge
setuptools                68.1.2             pyhd8ed1ab_0    conda-forge
setuptools-scm            8.3.1              pyhd8ed1ab_0    conda-forge
shellingham               1.5.4              pyhd8ed1ab_1    conda-forge
simplegeneric             0.8.1              pyhd8ed1ab_2    conda-forge
sip                       6.7.12          py310hc6cd4ac_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
slacker                   0.14.0             pyhd8ed1ab_1    conda-forge
smart_open                7.1.0              pyhd8ed1ab_0    conda-forge
smmap                     5.0.2              pyhd8ed1ab_0    conda-forge
snakemake                 7.32.4               hdfd78af_1    bioconda
snakemake-minimal         7.32.4             pyhdfd78af_1    bioconda
snappy                    1.2.2                h03e3b7b_0    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_0    conda-forge
snp-sites                 2.5.1                h577a1d6_6    bioconda
sortedcontainers          2.4.0              pyhd8ed1ab_0    conda-forge
soupsieve                 2.5                pyhd8ed1ab_1    conda-forge
spdlog                    1.13.0               hd2e6256_0    conda-forge
spectra                   0.0.11             pyhd8ed1ab_2    conda-forge
split-fasta               1.0.0                    pypi_0    pypi
sqlite                    3.50.3               hbc0de68_0    conda-forge
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
statsmodels               0.14.5          py310haaf2d95_0    conda-forge
stdlib-list               0.11.1             pyhd8ed1ab_0    conda-forge
stone                     3.3.2              pyhd8ed1ab_0    conda-forge
stopit                    1.1.2              pyhd8ed1ab_1    conda-forge
sysroot_linux-64          2.12                he073ed8_16    conda-forge
tabulate                  0.9.0              pyhd8ed1ab_2    conda-forge
tbb                       2021.12.0            h297d8ca_1    conda-forge
tbl2asn                   25.7                 h9ee0642_1    bioconda
termcolor                 3.1.0              pyhd8ed1ab_0    conda-forge
terminado                 0.18.1             pyh0d859eb_0    conda-forge
texttable                 1.7.0              pyhd8ed1ab_0    conda-forge
threadpoolctl             3.4.0              pyhc1e730c_0    conda-forge
throttler                 1.2.2              pyhd8ed1ab_0    conda-forge
tiktoken                  0.12.0          py310h790759e_3    conda-forge
tiledb                    2.24.1               h73c5a7c_0    conda-forge
tinycss2                  1.3.0              pyhd8ed1ab_0    conda-forge
tk                        8.6.13          noxft_hd72426e_102    conda-forge
tktable                   2.10                 h0c5db8f_5    conda-forge
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
tomli                     2.0.1              pyhd8ed1ab_0    conda-forge
toolz                     0.12.0             pyhd8ed1ab_0    conda-forge
toposort                  1.10               pyhd8ed1ab_1    conda-forge
tornado                   6.4             py310h2372a71_0    conda-forge
tqdm                      4.66.1             pyhd8ed1ab_0    conda-forge
traitlets                 5.14.3             pyhd8ed1ab_0    conda-forge
treerecs                  1.2                  h9f5acd7_3    bioconda
trim-galore               0.6.10               hdfd78af_0    bioconda
trimal                    1.4.1                h4ac6f70_9    bioconda
trimmomatic               0.39                 hdfd78af_2    bioconda
trio                      0.25.0          py310hff52083_0    conda-forge
trio-websocket            0.11.1             pyhd8ed1ab_0    conda-forge
truststore                0.8.0              pyhd8ed1ab_0    conda-forge
typeguard                 4.4.2              pyhd8ed1ab_0    conda-forge
typer                     0.15.3             pyhf21524f_0    conda-forge
typer-slim                0.15.3             pyh29332c3_0    conda-forge
typer-slim-standard       0.15.3               h1a15894_0    conda-forge
types-python-dateutil     2.9.0.20240316     pyhd8ed1ab_0    conda-forge
typing-extensions         4.11.0               hd8ed1ab_0    conda-forge
typing_extensions         4.11.0             pyha770c72_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_0    conda-forge
tzcode                    2024a                h3f72095_0    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
tzlocal                   5.3.1              pyh8f84b5b_0    conda-forge
ubiquerg                  0.8.0              pyhd8ed1ab_0    conda-forge
ucx                       1.15.0               h75e419f_2    conda-forge
unicodedata2              15.1.0          py310h2372a71_0    conda-forge
uri-template              1.3.0              pyhd8ed1ab_0    conda-forge
uriparser                 0.9.8                hac33072_0    conda-forge
uritemplate               4.1.1              pyhd8ed1ab_1    conda-forge
urllib3                   2.0.4              pyhd8ed1ab_0    conda-forge
velvet                    1.2.10               he4a0461_7    bioconda
veracitools               0.1.3                      py_0    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
webcolors                 1.13               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.8.0              pyhd8ed1ab_0    conda-forge
wget                      1.21.4               hda4d442_0    conda-forge
wheel                     0.41.2             pyhd8ed1ab_0    conda-forge
widgetsnbextension        4.0.10             pyhd8ed1ab_0    conda-forge
wrapt                     1.17.2          py310ha75aee5_0    conda-forge
wsproto                   1.2.0              pyhd8ed1ab_0    conda-forge
xcb-util                  0.4.1                hb711507_2    conda-forge
xcb-util-image            0.4.0                hb711507_2    conda-forge
xcb-util-keysyms          0.4.1                hb711507_0    conda-forge
xcb-util-renderutil       0.3.10               hb711507_0    conda-forge
xcb-util-wm               0.4.2                hb711507_0    conda-forge
xerces-c                  3.2.5                h988505b_2    conda-forge
xkeyboard-config          2.41                 hd590300_0    conda-forge
xopen                     1.8.0           py310hff52083_0    conda-forge
xorg-fixesproto           5.0               h7f98852_1002    conda-forge
xorg-inputproto           2.3.2             h7f98852_1002    conda-forge
xorg-kbproto              1.0.7             h7f98852_1002    conda-forge
xorg-libice               1.1.1                hd590300_0    conda-forge
xorg-libsm                1.2.4                h7391055_0    conda-forge
xorg-libx11               1.8.9                hb711507_1    conda-forge
xorg-libxau               1.0.11               hd590300_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxfixes            5.0.3             h7f98852_1004    conda-forge
xorg-libxi                1.7.10               h7f98852_0    conda-forge
xorg-libxrender           0.9.11               hd590300_0    conda-forge
xorg-libxt                1.3.0                hd590300_1    conda-forge
xorg-libxtst              1.2.3             h7f98852_1002    conda-forge
xorg-libxxf86vm           1.1.5                hb9d3cd8_2    conda-forge
xorg-recordproto          1.14.2            h7f98852_1002    conda-forge
xorg-renderproto          0.11.1            h7f98852_1002    conda-forge
xorg-xextproto            7.3.0             h0b41bf4_1003    conda-forge
xorg-xf86vidmodeproto     2.3.1             hb9d3cd8_1004    conda-forge
xorg-xproto               7.0.31            h7f98852_1007    conda-forge
xz                        5.8.1                hbcc6ac9_2    conda-forge
xz-gpl-tools              5.8.1                hbcc6ac9_2    conda-forge
xz-tools                  5.8.1                hb9d3cd8_2    conda-forge
yaml                      0.2.5                h7f98852_2    conda-forge
yaml-cpp                  0.8.0                h59595ed_0    conda-forge
